ID,SMILES,pIC50,Compound origin
CHEMBL3979343,C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1,5.22184875,ChEMBL
CHEMBL4089152,C=CCN1CC2=C(C1=O)C(c1ccc(C)cc1)c1c(n(CC)c(=O)[nH]c1=O)N2,6.200659451,ChEMBL
CHEMBL4084046,CC(=O)C(C(C)=O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.56035157,ChEMBL
CHEMBL4069010,CC(=O)CC(c1ccccc1)c1c(O)c2ncccc2oc1=O,5.548213564,ChEMBL
CHEMBL4071717,CC(=O)N(C)c1ccc(NC(=O)COc2ccc(Br)cc2Cl)cc1,4.293111605,ChEMBL
CHEMBL4163466,CC(=O)N1C(=O)c2cccc3c(S(=O)(=O)N4CCCC4)ccc1c23,4.895854449,ChEMBL
CHEMBL4214313,CC(=O)N1CC(C)N(Cc2ccccc2)c2ccccc21,4.499999953,ChEMBL
CHEMBL3590392,CC(=O)N1CCC(CO[C@@H]2CNCC[C@H]2Nc2nccc3cc(C)c(=O)[nH]c23)CC1,5,ChEMBL
CHEMBL4088793,CC(=O)N1CCC(n2nc(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)c3c2CCN(C(C)=O)C3)CC1,5.387216143,ChEMBL
CHEMBL4086422,CC(=O)N1CCCc2cc(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)ccc21,5.161150909,ChEMBL
CHEMBL4214299,CC(=O)N1CCN(Cc2cccc(C)c2)c2ccccc21,4.800000053,ChEMBL
CHEMBL4218053,CC(=O)N1CCN(Cc2ccccc2)c2ccccc21,5,ChEMBL
CHEMBL3898753,CC(=O)N1CCc2[nH]nc(Nc3cccc(C(F)(F)F)c3)c2C1,4.744727495,ChEMBL
CHEMBL3959584,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,4.22184875,ChEMBL
CHEMBL4207080,CC(=O)N1CCc2c(c(-c3c[nH]c4ccccc34)nn2C2CCOCC2)C1,4.958607315,ChEMBL
CHEMBL4203862,CC(=O)N1CCc2c(c(-c3cc(C)cc4ccncc34)nn2C2CCOCC2)C1,4.920818754,ChEMBL
CHEMBL4207560,CC(=O)N1CCc2c(c(-c3cc(Cl)cc4ccncc34)nn2C2CCOCC2)C1,4.721246399,ChEMBL
CHEMBL4215166,CC(=O)N1CCc2c(c(-c3ccc(C)c4ccncc34)nn2C2CCOCC2)C1,5.113509275,ChEMBL
CHEMBL4210763,CC(=O)N1CCc2c(c(-c3cccc4[nH]ccc34)nn2C2CCOCC2)C1,5.327902142,ChEMBL
CHEMBL4208936,CC(=O)N1CCc2c(c(-c3cccc4c(Cl)cncc34)nn2C2CCOCC2)C1,4.853871964,ChEMBL
